2020-11-25 04:35:09 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-25 04:59:22 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-25 05:00:34 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-25 05:02:10 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-25 05:04:21 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-25 05:04:30 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-25 05:06:31 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-25 05:17:11 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-25 05:22:21 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-25 05:23:09 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-27 10:44:36 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-27 10:44:45 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-27 10:46:53 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-27 10:53:22 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-27 10:57:14 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-27 11:35:44 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-27 11:40:56 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-27 11:41:10 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
